Crop,Production
Apple,0.0
Arcanut (Processed),192831.0
Arecanut,20346591.66
Arhar/Tur,39331390.33
Ash Gourd,0.0
Atcanut (Raw),927250.0
Bajra,129680996.0
Banana,146132679.64
Barley,22098266.92
Bean,6240.0
Beans & Mutter(Vegetable),211359.0
Beet Root,0.0
Ber,0.0
Bhindi,317077.0
Bitter Gourd,353.0
Black Pepper,1784234.41
Blackgram,43939.0
Bottle Gourd,598.0
Brinjal,1442172.0
Cabbage,311419.0
Cardamom,171742.7
Carrot,4066.0
Cashewnut,2591179.23
Cashewnut Processed,8121.0
Cashewnut Raw,98462.0
Castor Seed,15952058.65
Cauliflower,18433.0
Citrus Fruit,879567.0
Coconut,129981629216.29
Coffee,130012.0
Colocosia,49840.0
Cond-Spcs Other,2260.4
Coriander,3755117.22
Cotton(Lint),297000015.7
Cowpea(Lobia),240638.0
Cucumber,0.0
Drum Stick,77121.0
Dry Chillies,17712254.21
Dry Ginger,10046329.12
Garlic,8788773.8
Ginger,821925.7
Gram,99414235.33
Grapes,1751593.0
Groundnut,111744878.2
Guar Seed,12751525.0
Horse-Gram,4162613.4
Jack Fruit,60774.0
Jobster,1180.0
Jowar,114598259.1
Jute,181558177.9
Jute & Mesta,112315.0
Kapas,8542.0
Khesari,5768192.0
Korra,123713.0
Lab-Lab,0.0
Lemon,540994.0
Lentil,10762.0
Linseed,2537279.52
Litchi,0.0
Maize,273341803.57
Mango,12770536.0
Masoor,13153383.85
Mesta,12393542.0
Moong(Green Gram),18303187.8
Moth,3698783.6
Niger Seed,1352354.0
Oilseeds Total,43867560.0
Onion,72453049.2
Orange,2338803.0
Other  Rabi Pulses,4805261.4
Other Cereals & Millets,1186045.7
Other Citrus Fruit,0.0
Other Dry Fruit,0.0
Other Fibres,0.0
Other Fresh Fruits,399443.0
Other Kharif Pulses,4349860.38
Other Misc. Pulses,9704.22
Other Oilseeds,4769908.8100000005
Other Vegetables,963212.0
Paddy,31702401.0
Papaya,3922521.0
Peach,0.0
Pear,0.0
Peas  (Vegetable),0.0
Peas & Beans (Pulses),8752955.24
Perilla,1410.0
Pineapple,2127594.0
Plums,0.0
Pome Fruit,481340.0
Pome Granet,66334.0
Potato,424826343.86
Pulses Total,15675354.0
Pump Kin,0.0
Ragi,35131401.16
Rajmash Kholar,18590.0
Rapeseed &Mustard,90869265.82
Redish,3936.0
Ribed Guard,0.0
Rice,1605470383.37
Ricebean (Nagadal),5230.0
Rubber,1175317.0
Safflower,2821106.48
Samai,145175.0
Sannhamp,376901.16
Sapota,280427.0
Sesamum,11009030.86
Small Millets,5630375.6
Snak Guard,0.0
Soyabean,141837219.4
Sugarcane,5535681525.92
Sunflower,13263079.65
Sweet Potato,7848014.35
Tapioca,105007205.3
Tea,135981.3
Tobacco,10496158.02
Tomato,4724984.0
Total Foodgrain,43270757.0
Turmeric,9966243.48
Turnip,363.0
Urad,22410490.66
Varagu,49694.0
Water Melon,0.0
Wheat,1332825656.8
Yam,0.0
