State_Name,Production
Andaman And Nicobar Islands,718223239.99
Andhra Pradesh,17324590296.0
Arunachal Pradesh,6823912.6
Assam,2111751759.0
Bihar,366483596.66
Chandigarh,63956.5
Chhattisgarh,100951908.01
Dadra And Nagar Haveli,1847871.0
Goa,505755757.58
Gujarat,524291337.0
Haryana,381273890.0
Himachal Pradesh,17805168.6
Jammu And Kashmir,13291015.7
Jharkhand,10777741.75
Karnataka,863429811.68
Kerala,97880045375.7
Madhya Pradesh,448840738.66
Maharashtra,1263640606.2
Manipur,5230917.0
Meghalaya,12112496.0
Mizoram,1661539.83
Nagaland,12765950.0
Odisha,160904070.1
Puducherry,384724502.0
Punjab,586385001.0
Rajasthan,281320270.5
Sikkim,2435735.0
Tamil Nadu,12076443048.93
Telangana,335147930.0
Tripura,12522917.0
Uttar Pradesh,3234492662.7
Uttarakhand,132177355.0
West Bengal,1397904389.7
